dataset_x64_128_5000_500_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			5000
Query count			500
K to return			50
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			1.795
Bruteforce search time		0.419

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.500			0.088			50.000
50			1.000			0.146			74.000
75			1.500			0.195			84.000
100			2.000			0.240			88.000
125			2.500			0.279			92.000
150			3.000			0.309			94.000
175			3.500			0.339			96.000
200			4.000			0.366			96.000
225			4.500			0.388			98.000
250			5.000			0.411			98.000
275			5.500			0.431			98.000
300			6.000			0.458			98.000
325			6.500			0.473			98.000
350			7.000			0.496			98.000
375			7.500			0.511			100.000
400			8.000			0.531			100.000
425			8.500			0.542			100.000
450			9.000			0.560			100.000
475			9.500			0.574			100.000
500			10.000			0.599			100.000
525			10.500			0.618			100.000
550			11.000			0.634			100.000
575			11.500			0.653			100.000
600			12.000			0.666			100.000
625			12.500			0.679			100.000
650			13.000			0.689			100.000
675			13.500			0.708			100.000
700			14.000			0.715			100.000
725			14.500			0.727			100.000
750			15.000			0.740			100.000
775			15.500			0.753			100.000
800			16.000			0.764			100.000
825			16.500			0.773			100.000
850			17.000			0.779			100.000
875			17.500			0.795			100.000
900			18.000			0.804			100.000
925			18.500			0.810			100.000
950			19.000			0.823			100.000
975			19.500			0.833			100.000
1000			20.000			0.839			100.000
