dataset_x64_128_30000_3000_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			30000
Query count			3000
K to return			300
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			19.375
Bruteforce search time		20.452

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.083			0.788			8.333
50			0.167			1.317			16.667
75			0.250			1.859			25.000
100			0.333			2.337			33.333
125			0.417			2.813			41.667
150			0.500			3.297			50.000
175			0.583			3.835			58.333
200			0.667			4.306			65.000
225			0.750			4.723			68.000
250			0.833			5.157			70.333
275			0.917			5.616			72.667
300			1.000			5.931			74.667
325			1.083			6.322			76.333
350			1.167			6.764			78.000
375			1.250			7.148			79.333
400			1.333			7.789			80.667
425			1.417			8.163			81.667
450			1.500			8.514			82.667
475			1.583			8.913			83.667
500			1.667			9.168			84.667
525			1.750			9.543			85.333
550			1.833			9.842			86.000
575			1.917			10.258			87.000
600			2.000			10.544			87.333
625			2.083			10.919			88.000
650			2.167			11.269			88.667
675			2.250			11.525			89.000
700			2.333			11.836			89.667
725			2.417			12.185			90.000
750			2.500			12.485			90.667
775			2.583			12.843			91.000
800			2.667			13.089			91.333
825			2.750			13.395			91.667
850			2.833			13.640			92.000
875			2.917			13.917			92.333
900			3.000			14.201			92.667
925			3.083			14.459			92.667
950			3.167			14.716			93.000
975			3.250			15.008			93.333
1000			3.333			15.259			93.667
