dataset_x64_128_25000_2500_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			25000
Query count			2500
K to return			250
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			15.154
Bruteforce search time		12.259

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.100			0.616			10.000
50			0.200			1.033			20.000
75			0.300			1.435			30.000
100			0.400			1.804			40.000
125			0.500			2.148			50.000
150			0.600			2.496			60.000
175			0.700			2.911			66.000
200			0.800			3.229			69.200
225			0.900			3.533			72.000
250			1.000			3.827			74.400
275			1.100			4.120			76.400
300			1.200			4.418			78.400
325			1.300			4.697			80.000
350			1.400			4.985			81.600
375			1.500			5.214			82.800
400			1.600			5.484			84.000
425			1.700			5.766			84.800
450			1.800			6.227			86.000
475			1.900			6.511			86.800
500			2.000			6.726			87.600
525			2.100			6.979			88.000
550			2.200			7.187			88.800
575			2.300			7.424			89.200
600			2.400			7.646			90.000
625			2.500			7.857			90.400
650			2.600			8.125			90.800
675			2.700			8.366			91.200
700			2.800			8.572			91.600
725			2.900			8.727			92.000
750			3.000			8.952			92.400
775			3.100			9.151			92.800
800			3.200			9.325			93.200
825			3.300			9.566			93.200
850			3.400			9.737			93.600
875			3.500			9.928			94.000
900			3.600			10.118			94.000
925			3.700			10.310			94.400
950			3.800			10.467			94.800
975			3.900			10.709			94.800
1000			4.000			10.901			94.800
