dataset_x64_128_15000_1500_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			15000
Query count			1500
K to return			150
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			7.878
Bruteforce search time		3.991

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.167			0.334			16.667
50			0.333			0.544			33.333
75			0.500			0.756			50.000
100			0.667			0.947			64.667
125			0.833			1.107			70.000
150			1.000			1.278			74.667
175			1.167			1.430			78.000
200			1.333			1.635			80.667
225			1.500			1.763			83.333
250			1.667			1.888			85.333
275			1.833			2.027			86.667
300			2.000			2.148			88.000
325			2.167			2.279			89.333
350			2.333			2.391			90.000
375			2.500			2.502			91.333
400			2.667			2.613			92.000
425			2.833			2.716			92.667
450			3.000			2.804			93.333
475			3.167			2.904			94.000
500			3.333			3.178			94.000
525			3.500			3.093			94.667
550			3.667			3.187			95.333
575			3.833			3.279			95.333
600			4.000			3.428			96.000
625			4.167			3.575			96.000
650			4.333			3.657			96.000
675			4.500			3.751			96.667
700			4.667			3.827			96.667
725			4.833			3.919			96.667
750			5.000			3.963			97.333
775			5.167			4.101			97.333
800			5.333			4.151			97.333
825			5.500			4.253			97.333
850			5.667			4.301			98.000
875			5.833			4.347			98.000
900			6.000			4.426			98.000
925			6.167			4.495			98.000
950			6.333			4.585			98.000
975			6.500			4.631			98.000
1000			6.667			4.706			98.000
