dataset_x64_128_10000_1000_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			10000
Query count			1000
K to return			100
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			4.603
Bruteforce search time		1.712

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.250			0.210			25.000
50			0.500			0.334			50.000
75			0.750			0.455			68.000
100			1.000			0.575			75.000
125			1.250			0.668			80.000
150			1.500			0.765			84.000
175			1.750			0.843			86.000
200			2.000			0.933			89.000
225			2.250			1.022			90.000
250			2.500			1.116			91.000
275			2.750			1.179			92.000
300			3.000			1.244			93.000
325			3.250			1.299			94.000
350			3.500			1.353			95.000
375			3.750			1.419			95.000
400			4.000			1.474			96.000
425			4.250			1.519			96.000
450			4.500			1.581			97.000
475			4.750			1.621			97.000
500			5.000			1.663			97.000
525			5.250			1.731			97.000
550			5.500			1.772			98.000
575			5.750			1.812			98.000
600			6.000			1.847			98.000
625			6.250			1.905			98.000
650			6.500			1.930			98.000
675			6.750			1.993			98.000
700			7.000			2.031			99.000
725			7.250			2.060			99.000
750			7.500			2.106			99.000
775			7.750			2.145			99.000
800			8.000			2.191			99.000
825			8.250			2.206			99.000
850			8.500			2.251			99.000
875			8.750			2.290			99.000
900			9.000			2.323			99.000
925			9.250			2.349			99.000
950			9.500			2.399			99.000
975			9.750			2.425			99.000
1000			10.000			2.461			99.000
